Apuesta: Mariano Camposeco,250.39,1.,2,3,4,5,6,7,8,9,10 rechazada por caracteres incorrecto en el apartado de posiciones 
Apuesta: lOtAvSuZnAnRaXhYuIjXjZ vCcSoOaKuFhI,2.384,7,.8,8,1,8,4,1,2,1,9 rechazada por caracteres incorrecto en el apartado de posiciones 
Apuesta: tGiHcZcClBlXsCyJdPnQtP bCbGnSnAkDsV,34.391,4,7,3,2,4,9,9,5,2,5# rechazada por caracteres incorrecto en el apartado de posiciones 
Apuesta: yZwYbSlGxNpCmFwOpYgZeT eChIfTaEfHvH,35.694,3sd,3,4,7,4,9,9,9,9,5 rechazada por caracteres incorrecto en el apartado de posiciones 
Apuesta: pDoKxQuFyYcLyAtXjBwTlK vQoKiQrIjIyR,55.47,1,9,2+,1,6,2,4,2-,2,8 rechazada por caracteres incorrecto en el apartado de posiciones 
Apuesta: pRmSpNhQdFlWlYxOkSnAfP lXjBpSmIvMnE,77.757,4,1,3,5,2,7,610,8,8 rechazada por no contar con todos los campos solicitados 
Apuesta: Mariano Camposeco,250.39,1.,2,3,4,5,6,7,8,9,10 rechazada por caracteres incorrecto en el apartado de posiciones 
Apuesta: lOtAvSuZnAnRaXhYuIjXjZ vCcSoOaKuFhI,2.384,7,.8,8,1,8,4,1,2,1,9 rechazada por caracteres incorrecto en el apartado de posiciones 
Apuesta: tGiHcZcClBlXsCyJdPnQtP bCbGnSnAkDsV,34.391,4,7,3,2,4,9,9,5,2,5# rechazada por caracteres incorrecto en el apartado de posiciones 
Apuesta: yZwYbSlGxNpCmFwOpYgZeT eChIfTaEfHvH,35.694,3sd,3,4,7,4,9,9,9,9,5 rechazada por caracteres incorrecto en el apartado de posiciones 
Apuesta: pDoKxQuFyYcLyAtXjBwTlK vQoKiQrIjIyR,55.47,1,9,2+,1,6,2,4,2-,2,8 rechazada por caracteres incorrecto en el apartado de posiciones 
Apuesta: pRmSpNhQdFlWlYxOkSnAfP lXjBpSmIvMnE,77.757,4,1,3,5,2,7,610,8,8 rechazada por no contar con todos los campos solicitados 
Apuesta: Mariano Camposeco,250.39,1.,2,3,4,5,6,7,8,9,10 rechazada por caracteres incorrecto en el apartado de posiciones 
Apuesta: lOtAvSuZnAnRaXhYuIjXjZ vCcSoOaKuFhI,2.384,7,.8,8,1,8,4,1,2,1,9 rechazada por caracteres incorrecto en el apartado de posiciones 
Apuesta: tGiHcZcClBlXsCyJdPnQtP bCbGnSnAkDsV,34.391,4,7,3,2,4,9,9,5,2,5# rechazada por caracteres incorrecto en el apartado de posiciones 
Apuesta: yZwYbSlGxNpCmFwOpYgZeT eChIfTaEfHvH,35.694,3sd,3,4,7,4,9,9,9,9,5 rechazada por caracteres incorrecto en el apartado de posiciones 
